*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-04-14,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
252,,,0.99,303,0,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
996,2.3,3,0,0,,,,,
850,2.0,-7,18,273,,,,,
700,1.7,-17,21,271,,,,,
500,1.3,-35,28,267,,,,,
388,1.1,-47,33,288,,,,,
371,0.9,-49,34,289,,,,,
371,0.9,-49,34,289,,,,,
371,0.9,-49,34,289,,,,,
354,1.1,-52,35,290,,,,,
338,1.1,-54,35,290,,,,,
323,1.8,-54,34,290,,,,,
300,4.9,-52,34,291,,,,,
256,6.4,-47,32,289,,,,,
234,6.2,-46,30,289,,,,,
234,6.2,-46,30,289,,,,,
224,5.1,-46,30,289,,,,,
200,5.7,-46,30,294,,,,,
196,5.7,-46,28,294,,,,,
187,4.5,-46,27,291,,,,,
171,4.2,-47,27,295,,,,,
150,6.1,-47,23,297,,,,,
136,5.9,-48,28,299,,,,,
124,7.7,-48,21,300,,,,,
119,7.6,-48,23,297,,,,,
108,9.5,-49,26,294,,,,,
100,9.1,-49,26,298,,,,,
90.3,11.7,-48,22,288,,,,,
86.2,10.3,-49,21,295,,,,,
78.7,9.6,-50,19,290,,,,,
71.8,10.7,-50,19,313,,,,,
71.8,10.7,-50,19,313,,,,,
70,10.6,-51,21,312,,,,,
54.4,12.9,-51,22,289,,,,,
54.4,12.9,-51,22,289,,,,,
51.9,13.1,-51,24,300,,,,,
50,12.9,-51,23,290,,,,,
47.4,13.1,-51,20,283,,,,,
47.4,13.1,-51,20,283,,,,,
43.2,12.8,-52,15,285,,,,,
41.2,12.9,-52,17,300,,,,,
35.9,12.7,-53,15,297,,,,,
31.2,12.8,-54,21,294,,,,,
31.2,12.8,-54,21,294,,,,,
30,12.2,-54,20,298,,,,,
27.1,11.5,-54,19,289,,,,,
24.7,11.8,-55,25,274,,,,,
24.7,11.8,-55,25,274,,,,,
22.5,10.6,-52,27,281,,,,,
22.5,10.6,-52,27,281,,,,,
20,10.2,-50,25,286,,,,,
17.1,10.6,-51,19,277,,,,,
17.1,10.6,-51,19,277,,,,,
14.2,8.2,-53,22,263,,,,,
12.3,7.3,-54,,,,,,,

* OC;VAISALA GPS WINDS  XtrapO3=54

