*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1996-11-30,22:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
303,,,1.088,362,0,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
984,1.6,9,0,0,,,,,
850,1.7,0,16,23,,,,,
700,1.4,-9,18,31,,,,,
500,1.0,-29,16,23,,,,,
358,0.9,-49,19,5,,,,,
300,4.0,-50,16,24,,,,,
272,5.9,-48,14,29,,,,,
260,6.0,-48,13,33,,,,,
237,6.8,-46,12,36,,,,,
200,5.7,-46,11,49,,,,,
189,5.1,-46,11,52,,,,,
173,5.4,-45,10,51,,,,,
166,4.9,-45,9,51,,,,,
150,5.7,-45,9,49,,,,,
145,4.7,-44,10,45,,,,,
127,8.4,-42,10,41,,,,,
121,8.2,-43,9,36,,,,,
100,11.2,-44,1,23,,,,,
88.7,11.4,-45,5,39,,,,,
77.5,14.0,-43,6,6,,,,,
70,13.8,-44,7,352,,,,,
64.8,14.8,-44,7,322,,,,,
50,15.1,-46,6,332,,,,,
39.6,14.5,-44,2,9,,,,,
34.6,13.5,-44,5,66,,,,,
30,12.7,-44,7,44,,,,,
20,10.9,-43,5,47,,,,,
10,6.4,-37,10,81,,,,,
7.1,4.5,-32,10,74,,,,,

* OC;ECC6A/OMEGA/VAISALA  XtrapO3=30

