*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-01-17,22:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
248,,,1.059,297,0,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1004,1.2,8,0,0,,,,,
1000,1.2,8,7,224,,,,,
850,1.3,-4,14,226,,,,,
741,1.3,-9,14,231,,,,,
700,1.5,-10,14,233,,,,,
585,2.4,-17,11,245,,,,,
500,1.5,-25,10,284,,,,,
477,1.4,-28,10,291,,,,,
420,1.6,-36,11,310,,,,,
385,3.1,-38,19,335,,,,,
369,4.0,-39,25,343,,,,,
338,3.4,-42,27,346,,,,,
323,4.3,-44,26,347,,,,,
300,5.8,-46,23,346,,,,,
282,6.4,-46,20,339,,,,,
258,5.4,-45,15,325,,,,,
246,5.7,-44,14,321,,,,,
216,5.3,-44,10,301,,,,,
200,4.4,-44,11,293,,,,,
188,4.0,-44,12,293,,,,,
172,3.6,-45,10,288,,,,,
165,4.2,-45,10,291,,,,,
150,4.3,-46,11,295,,,,,
144,4.0,-46,11,291,,,,,
131,5.0,-46,10,279,,,,,
115,4.7,-49,9,288,,,,,
110,5.6,-49,9,295,,,,,
100,6.9,-49,8,289,,,,,
70,10.3,-48,4,342,,,,,
66.3,10.3,-48,4,337,,,,,
52.9,13.1,-47,2,351,,,,,
50,13.1,-47,2,358,,,,,
46.2,13.2,-46,2,72,,,,,
44.1,12.9,-46,3,75,,,,,
40.3,11.2,-47,4,67,,,,,
36.8,11.6,-46,5,71,,,,,
35.2,10.6,-47,7,66,,,,,
33.6,9.9,-46,7,62,,,,,
30.7,10.9,-45,7,67,,,,,
30,10.7,-45,7,68,,,,,
26.9,9.5,-44,9,73,,,,,
22.5,8.9,-43,13,89,,,,,
20,9.0,-42,15,83,,,,,
18,8.6,-39,16,84,,,,,
15.1,8.2,-37,15,84,,,,,
12.7,7.7,-34,16,80,,,,,
10,6.2,-31,17,82,,,,,
8,4.9,-27,19,87,,,,,

* OC;VAISALA  XtrapO3=32.3

