*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-06-18,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
164,,,0.985,257,2,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1006,2.7,3,0,0,,,,,
1000,2.8,3,20,248,,,,,
850,2.8,-6,29,234,,,,,
700,2.4,-13,30,231,,,,,
500,1.8,-27,40,225,,,,,
300,1.2,-55,49,222,,,,,
252,0.9,-62,49,221,,,,,
228,2.0,-62,48,219,,,,,
217,2.4,-61,48,220,,,,,
200,5.7,-60,41,224,,,,,
198,6.3,-59,39,226,,,,,
179,8.0,-59,37,240,,,,,
163,8.3,-54,40,243,,,,,
156,10.5,-54,41,242,,,,,
150,6.3,-54,41,241,,,,,
149,5.2,-54,41,241,,,,,
142,4.0,-54,41,241,,,,,
129,3.9,-54,38,239,,,,,
112,4.0,-57,36,247,,,,,
107,3.5,-56,37,252,,,,,
100,3.9,-55,37,258,,,,,
76.8,6.8,-56,43,263,,,,,
70,9.3,-56,42,261,,,,,
60.7,11.2,-56,43,257,,,,,
50,11.8,-58,40,271,,,,,
43.5,13.2,-58,46,273,,,,,
39.5,12.8,-60,49,272,,,,,
35.9,13.6,-59,49,274,,,,,
30,13.0,-62,55,278,,,,,
28.2,13.0,-60,55,279,,,,,
26.9,12.8,-59,54,279,,,,,

* OC;VAISALA  XtrapO3=97

