*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-02-18,22:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
215,,,1.049,276,0,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1004,1.2,9,0,0,,,,,
1000,1.2,9,15,294,,,,,
850,1.6,-2,22,279,,,,,
743,1.5,-9,25,284,,,,,
700,1.7,-10,25,283,,,,,
661,2.1,-11,27,284,,,,,
611,3.0,-14,30,286,,,,,
564,1.6,-16,36,284,,,,,
521,1.0,-19,38,284,,,,,
500,1.0,-21,39,285,,,,,
342,1.4,-41,42,284,,,,,
300,1.4,-48,46,285,,,,,
273,3.0,-49,48,284,,,,,
249,4.1,-48,48,288,,,,,
217,4.8,-48,43,288,,,,,
200,4.4,-47,41,288,,,,,
166,2.9,-47,40,293,,,,,
150,4.4,-48,38,291,,,,,
132,4.0,-49,32,292,,,,,
115,6.6,-50,30,291,,,,,
110,5.9,-51,29,291,,,,,
100,6.7,-50,26,287,,,,,
91.3,7.1,-50,20,299,,,,,
87.2,6.8,-52,21,299,,,,,
83.3,7.2,-52,22,295,,,,,
79.5,8.4,-51,21,293,,,,,
70,9.6,-49,15,284,,,,,
55.1,10.5,-50,11,308,,,,,
50,11.7,-50,8,300,,,,,
43.8,12.0,-50,9,322,,,,,
41.8,11.6,-50,8,309,,,,,
38.1,12.2,-49,4,319,,,,,
34.8,10.7,-49,4,311,,,,,
33.2,10.0,-49,4,301,,,,,
30,9.8,-49,1,33,,,,,
23.1,11.1,-44,4,29,,,,,
21.1,10.6,-45,3,24,,,,,
20,9.6,-45,2,357,,,,,
11.4,7.0,-35,2,250,,,,,

* OC;VAISALA  XtrapO3=47.5

