*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-09-23,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
272,,,0.991,328,0,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1022,2.8,6,0,0,,,,,
1000,2.9,4,19,281,,,,,
850,2.8,3,25,266,,,,,
700,2.7,-7,22,273,,,,,
602,2.9,-14,25,269,,,,,
500,2.8,-24,28,266,,,,,
452,3.0,-28,30,264,,,,,
365,2.1,-40,30,267,,,,,
334,2.4,-43,32,268,,,,,
300,2.0,-48,35,269,,,,,
254,1.4,-57,39,269,,,,,
242,1.7,-59,40,269,,,,,
200,1.4,-67,43,271,,,,,
189,1.2,-69,44,269,,,,,
150,5.0,-64,42,274,,,,,
134,3.8,-63,42,276,,,,,
116,9.2,-60,42,278,,,,,
110,6.5,-59,42,279,,,,,
100,5.5,-59,43,281,,,,,
91.2,4.1,-60,44,280,,,,,
70,10.1,-57,46,279,,,,,
59.5,14.0,-55,30,180,,,,,
54.2,14.3,-55,0,0,,,,,
50,13.8,-54,6,33,,,,,
44.9,13.2,-54,52,287,,,,,
37.3,16.1,-51,55,290,,,,,
30,15.9,-52,,,,,,,
24.6,14.3,-50,,,,,,,
22.5,14.6,-47,,,,,,,
20,13.7,-46,,,,,,,
10.5,8.5,-40,,,,,,,

* OC;VAISALA  XtrapO3=58.8  POOR TELEMETRY

