*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-07-15,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
258,,,1.048,289,2,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
982,2.9,6,0,0,,,,,
850,2.9,-1,24,327,,,,,
700,2.3,-10,28,336,,,,,
500,1.8,-29,32,347,,,,,
425,1.6,-39,28,348,,,,,
407,2.0,-40,33,343,,,,,
340,1.6,-47,37,337,,,,,
300,3.4,-52,40,337,,,,,
270,4.1,-55,36,333,,,,,
235,7.1,-53,34,332,,,,,
224,7.1,-53,32,330,,,,,
200,5.8,-53,32,321,,,,,
186,4.7,-52,34,316,,,,,
170,4.3,-50,35,313,,,,,
150,4.9,-50,36,305,,,,,
129,5.6,-50,41,302,,,,,
117,5.7,-52,42,298,,,,,
107,7.4,-51,42,295,,,,,
100,5.7,-52,46,295,,,,,
97.6,4.6,-52,47,294,,,,,
84.9,7.3,-53,47,290,,,,,
81.1,7.9,-53,45,290,,,,,
77.4,7.6,-54,43,290,,,,,
73.9,10.2,-54,43,291,,,,,
70,9.5,-55,46,290,,,,,
67.2,10.7,-56,47,288,,,,,
64.1,11.7,-56,48,284,,,,,
61.2,12.1,-54,48,283,,,,,
58.4,11.4,-54,47,284,,,,,
53.1,11.9,-56,49,284,,,,,
50,12.6,-56,49,283,,,,,
48.3,12.8,-56,49,282,,,,,
42,13.2,-56,49,284,,,,,
34.7,12.9,-57,48,286,,,,,
30,12.0,-61,51,285,,,,,
26,11.8,-62,55,281,,,,,
22.5,11.1,-62,58,282,,,,,
20,10.0,-61,65,280,,,,,
18.5,9.1,-62,66,282,,,,,
14.5,6.8,-64,69,272,,,,,
10,4.3,-63,74,268,,,,,
7,2.9,-63,80,271,,,,,
5.4,2.2,-64,76,269,,,,,

* OC;VAISALA  XtrapO3=16.9

