*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-06-24,23:59:59

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
290,,,0.992,302,2,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1008,2.5,3,0,0,,,,,
1000,2.6,2,13,245,,,,,
935,2.9,-3,14,239,,,,,
850,2.7,-8,15,241,,,,,
700,2.4,-18,20,247,,,,,
500,1.9,-34,27,248,,,,,
449,2.5,-39,28,251,,,,,
412,1.5,-42,26,246,,,,,
394,1.5,-44,27,243,,,,,
328,2.8,-50,33,238,,,,,
313,4.0,-51,35,238,,,,,
300,3.8,-52,35,239,,,,,
286,3.3,-52,35,239,,,,,
237,6.7,-52,29,247,,,,,
206,6.3,-53,29,255,,,,,
200,6.1,-52,28,255,,,,,
156,9.0,-54,28,256,,,,,
150,8.6,-55,29,259,,,,,
142,9.1,-55,29,261,,,,,
135,8.4,-56,27,262,,,,,
123,8.9,-56,27,265,,,,,
118,7.8,-56,27,266,,,,,
112,6.6,-57,28,267,,,,,
107,8.5,-58,30,265,,,,,
102,7.8,-58,31,266,,,,,
100,8.6,-57,31,267,,,,,
97.3,9.6,-56,30,268,,,,,
92.8,11.3,-56,30,271,,,,,
80.5,13.6,-56,27,276,,,,,
70,11.8,-60,32,278,,,,,
69.8,11.7,-60,32,278,,,,,
63.4,13.0,-60,33,279,,,,,
57.6,12.3,-61,36,275,,,,,
52.3,11.1,-62,38,274,,,,,
50,11.2,-62,37,276,,,,,
45.2,11.8,-63,39,279,,,,,
41,13.4,-61,42,278,,,,,
39,13.7,-61,42,279,,,,,
35.5,13.7,-61,41,279,,,,,
30,12.8,-62,48,275,,,,,
20,9.3,-63,54,283,,,,,
17.1,7.9,-64,61,276,,,,,
13.3,6.2,-65,68,282,,,,,
12.7,5.7,-66,70,282,,,,,
10,4.7,-67,71,279,,,,,
7,2.9,-70,75,291,,,,,
5,2.0,-73,78,276,,,,,
4.4,1.7,-72,83,277,,,,,

* OC;VAISALA  XtrapO3=13.8

