*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-06-03,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
221,,,1.116,265,2,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1010,2.2,5,0,0,,,,,
1000,2.3,5,7,238,,,,,
850,2.6,-2,13,233,,,,,
700,2.4,-6,19,234,,,,,
500,1.8,-22,21,224,,,,,
300,1.1,-48,26,237,,,,,
200,0.9,-65,28,231,,,,,
178,3.4,-61,28,231,,,,,
170,3.6,-60,28,234,,,,,
150,2.3,-58,29,237,,,,,
134,2.1,-56,27,238,,,,,
100,3.7,-59,26,245,,,,,
87.1,7.2,-56,28,244,,,,,
75.6,6.3,-56,23,242,,,,,
70,7.0,-58,22,255,,,,,
65.6,7.8,-58,26,264,,,,,
54.1,8.4,-61,33,252,,,,,
50,9.7,-61,33,251,,,,,
42.6,11.9,-60,36,255,,,,,
36.8,10.1,-62,39,254,,,,,
31.8,12.2,-62,41,255,,,,,
30,12.3,-62,41,257,,,,,
26.2,12.3,-62,42,255,,,,,
21.6,11.6,-62,37,257,,,,,
20,11.1,-64,37,257,,,,,
17.8,10.9,-65,37,252,,,,,
15.3,10.0,-67,36,247,,,,,
11.3,5.3,-72,41,258,,,,,
10,4.9,-71,43,257,,,,,
8.8,4.7,-73,48,256,,,,,
7.9,3.8,-72,52,257,,,,,
7,3.1,-69,53,254,,,,,
5,2.1,-66,55,251,,,,,
5,2.1,-66,55,251,,,,,

* OC;VAISALA  XtrapO3=16

