*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-07-29,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
286,,,1.036,315,2,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
999,2.2,4,0,0,,,,,
963,2.9,1,11,345,,,,,
850,2.8,-4,10,353,,,,,
700,2.4,-14,9,7,,,,,
655,2.3,-18,8,16,,,,,
534,1.9,-28,12,104,,,,,
500,2.0,-31,16,113,,,,,
431,1.8,-37,22,111,,,,,
395,1.8,-41,24,102,,,,,
346,1.6,-47,24,101,,,,,
300,2.3,-52,18,103,,,,,
262,2.8,-57,11,108,,,,,
216,6.2,-56,3,84,,,,,
206,6.0,-57,1,358,,,,,
200,6.7,-57,1,269,,,,,
188,9.2,-56,3,260,,,,,
163,5.7,-58,8,265,,,,,
150,6.8,-59,11,262,,,,,
134,9.8,-59,14,266,,,,,
122,8.1,-60,17,264,,,,,
100,9.1,-62,21,260,,,,,
82.9,10.1,-64,26,258,,,,,
79,12.2,-64,26,263,,,,,
70,13.1,-65,30,258,,,,,
68.1,13.5,-66,32,257,,,,,
58.7,13.6,-66,35,255,,,,,
53.2,15.0,-64,36,255,,,,,
50,14.8,-65,36,258,,,,,
45.9,14.3,-66,39,258,,,,,
45.9,14.3,-66,39,258,,,,,
43.7,14.7,-66,41,257,,,,,
39.6,14.0,-67,44,258,,,,,
35.9,14.4,-66,48,256,,,,,
30,12.8,-64,51,254,,,,,
20,8.5,-60,63,258,,,,,
19,7.6,-58,64,256,,,,,
16.5,6.4,-57,75,255,,,,,
13.7,5.5,-51,80,255,,,,,
12.5,5.1,-47,85,257,,,,,
10,4.8,-42,91,256,,,,,
7,4.2,-23,117,253,,,,,
5.3,2.8,-19,108,258,,,,,

* OC;VAISALA  XtrapO3=18

