
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-07-27,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4963

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-07-27,23:30:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
291.2,4,301.5,-1.041,,2,5,Dobson,1.041

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.072,25.7,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1008,3.61,5,12.9,311
1000,3.6,4
972,3.56,3
850,3.34,-1
837,3.32,-2
700,2.92,-9
614,2.7,-16
544,2.04,-23
500,1.89,-27
441,1.56,-34
370,1.51,-43
300,1.31,-54
243,2.5,-61
200,5.31,-62
191,5.86,-61
173,5.28,-62
165,5.28,-62
157,7.64,-61
150,8.76,-62
143,7.66,-63
136,7.91,-63
123,9.26,-62
112,9.16,-63
107,9.52,-64
102,9.36,-65
100,9.68,-65
96.6,10.4,-64
83.4,9.59,-66
79.3,9.51,-67
75.5,12.8,-68
70,14.6,-68
68.3,14.7,-68
61.8,16.2,-67
56,16.4,-68
53.2,16,-69
50,16,-69
48.1,15.9,-70
45.8,15.5,-70
43.5,15.6,-70
41.4,15.2,-71
39.3,15.4,-71
37.4,15.4,-71
35.5,15,-71
33.8,14.7,-71
30,13.6,-71
20,8.97,-76
17.3,7.55,-76
13.4,4.96,-74
11.5,4.03,-71
10,3.35,-69
8.1,2.93,-64
7,2.72,-61
5.8,2.54,-58
5,2.16,-54
4,1.44,-47
