
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-07-20,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4964

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-07-20,23:22:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
240.4,4,279,-1.133,,2,4,Dobson,006
* Premature flight termination at 63 hPa. Data OK to this point.

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.043,27.22,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
984,2.4,7,8.2,7
950,3.01,5
915,3.05,3
850,2.93,0
700,2.58,-10
599,2.27,-18
576,2.21,-20
500,1.95,-28
429,1.67,-38
411,1.58,-40
300,1.16,-59
284,1.33,-60
258,2.98,-60
246,3.35,-60
213,5.53,-60
200,5.8,-59
184,6.91,-58
176,7.79,-58
168,7.84,-58
160,7.22,-58
152,7.53,-59
150,8.75,-59
145,11.4,-58
138,9.91,-59
132,9.17,-59
126,11.1,-58
120,11.4,-59
109,11.1,-59
104,10.3,-60
100,10.2,-61
94.3,10.4,-62
85.5,9.2,-64
81.5,9.89,-63
73.8,9.4,-65
70,10,-66
66.9,11.2,-66
63.7,12.9,-66
60.6,14,-66
