*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1994-08-16,11:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
415,,,0.96,422,0,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
985,3.9,2,0,0,,,,,
850,3.2,-7,22,268,,,,,
700,2.8,-18,26,274,,,,,
500,2.5,-36,34,278,,,,,
400,2.1,-46,28,270,,,,,
333,2.0,-53,31,268,,,,,
300,2.4,-57,35,272,,,,,
239,6.5,-60,43,277,,,,,
200,8.0,-57,45,280,,,,,
188,8.0,-56,45,284,,,,,
150,11.7,-56,48,283,,,,,
123,14.2,-54,49,290,,,,,
100,21.6,-50,54,287,,,,,
89.1,22.5,-49,59,289,,,,,
81.3,18.0,-48,61,290,,,,,
70,19.0,-45,61,288,,,,,
56.7,20.9,-43,62,290,,,,,
50,20.6,-44,61,289,,,,,
45.4,17.1,-42,60,289,,,,,
41.5,17.6,-42,61,289,,,,,
39.7,16.7,-42,60,290,,,,,
36.3,17.1,-40,57,294,,,,,
31.8,16.3,-44,59,291,,,,,
30,15.9,-43,59,289,,,,,
26.6,15.3,-38,60,287,,,,,
24.4,15.7,-37,60,287,,,,,
20,14.7,-34,55,288,,,,,
18.1,12.3,-37,54,286,,,,,
10,6.3,-35,51,297,,,,,
7,4.5,-28,48,298,,,,,
6.2,3.8,-27,,,,,,,

* OC;VAISALA SYSTEM  XtrapO3=25

