*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1994-04-04,02:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
256,,,1.03,289,0,4,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
991,1.9,4,0,0,,,,,
850,1.9,-4,10,271,,,,,
700,1.4,-9,30,287,,,,,
603,1.1,-15,33,272,,,,,
500,1.3,-24,49,271,,,,,
300,1.0,-45,77,267,,,,,
233,1.3,-55,78,266,,,,,
200,3.6,-53,59,264,,,,,
185,4.2,-51,52,264,,,,,
161,3.6,-52,44,266,,,,,
150,4.1,-52,43,267,,,,,
134,3.8,-51,41,271,,,,,
122,3.2,-52,39,273,,,,,
116,4.8,-51,38,272,,,,,
100,5.0,-51,31,275,,,,,
88.1,5.5,-53,31,278,,,,,
84.1,7.1,-52,30,273,,,,,
70,10.3,-51,26,278,,,,,
63.7,10.0,-50,26,280,,,,,
50,12.2,-50,16,290,,,,,
46.2,12.2,-51,20,283,,,,,
38.4,13.3,-51,13,274,,,,,
30,13.6,-50,7,273,,,,,
24.3,13.3,-47,11,256,,,,,
20,12.1,-48,7,263,,,,,
15.4,9.8,-48,9,250,,,,,
10,6.7,-45,10,202,,,,,
7,4.4,-43,17,198,,,,,
5.5,3.4,-43,20,221,,,,,

* OC;VAISALA SYSTEM  XtrapO3=24

