*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1994-11-23,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
301,,,1.03,334,0,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1007,1.7,6,0,0,,,,,
1000,1.7,6,15,319,,,,,
850,1.9,1,15,298,,,,,
806,1.8,-2,14,300,,,,,
700,2.2,-6,18,295,,,,,
500,2.2,-23,19,271,,,,,
445,1.6,-28,14,261,,,,,
300,1.2,-50,21,271,,,,,
261,1.1,-56,23,275,,,,,
206,5.2,-48,22,266,,,,,
200,4.3,-48,21,265,,,,,
180,3.5,-48,17,268,,,,,
164,5.5,-48,17,266,,,,,
150,5.1,-48,18,266,,,,,
143,6.3,-46,17,261,,,,,
131,6.2,-47,15,262,,,,,
125,6.3,-47,15,264,,,,,
109,8.3,-48,9,258,,,,,
104,10.1,-46,9,262,,,,,
100,11.0,-45,9,262,,,,,
91.2,12.3,-46,8,257,,,,,
79.6,11.6,-46,7,263,,,,,
76.1,14.0,-45,6,263,,,,,
70,13.7,-45,5,259,,,,,
66.5,13.5,-44,3,269,,,,,
50,16.1,-43,1,211,,,,,
37.2,15.6,-42,7,77,,,,,
31.2,14.2,-43,8,82,,,,,
30,14.4,-43,9,84,,,,,
27.3,13.6,-42,12,80,,,,,
23.9,13.1,-41,13,87,,,,,
20,11.2,-40,16,84,,,,,
10,6.0,-36,21,83,,,,,
7,4.2,-30,25,83,,,,,
6.3,3.7,-28,30,74,,,,,

* OC;VAISALA SYSTEM  XtrapO3=24

