*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1994-03-04,05:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
312,,,0.91,305,0,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
994,1.2,7,0,0,,,,,
850,1.5,-5,15,278,,,,,
700,1.5,-15,14,279,,,,,
601,2.1,-21,17,279,,,,,
531,1.5,-27,17,278,,,,,
500,2.0,-29,22,272,,,,,
449,1.6,-33,31,267,,,,,
361,1.2,-44,39,269,,,,,
300,1.9,-51,41,270,,,,,
288,3.2,-52,39,270,,,,,
262,4.8,-49,34,272,,,,,
239,4.5,-49,29,280,,,,,
200,5.7,-47,24,288,,,,,
191,7.8,-47,22,290,,,,,
166,5.1,-47,17,306,,,,,
150,6.8,-47,18,307,,,,,
133,5.5,-48,19,304,,,,,
121,6.8,-47,16,305,,,,,
116,6.8,-47,15,313,,,,,
100,9.2,-48,17,314,,,,,
76.9,10.1,-48,13,310,,,,,
70,12.1,-48,12,313,,,,,
67.1,12.7,-48,12,314,,,,,
61.3,13.2,-48,11,318,,,,,
58.5,12.5,-47,10,321,,,,,
50,13.9,-47,9,325,,,,,
48.8,14.3,-47,9,326,,,,,
42.6,13.3,-46,10,319,,,,,
40.8,14.3,-46,9,318,,,,,
30,14.8,-46,5,339,,,,,
27.2,14.3,-47,5,313,,,,,
23.7,13.5,-45,3,321,,,,,
22.7,12.2,-46,3,338,,,,,
20,11.9,-46,4,1,,,,,
17.3,11.6,-43,5,296,,,,,
10,7.4,-37,3,263,,,,,
7,5.4,-36,7,269,,,,,
5.1,4.0,-31,3,215,,,,,

* OC;VAISALA SYSTEM  XtrapO3=26

