*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1994-08-31,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
350,,,1.03,391,0,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
990,2.6,2,0,0,,,,,
850,2.7,-9,17,238,,,,,
700,2.4,-19,16,248,,,,,
670,2.3,-22,18,256,,,,,
545,2.7,-29,22,241,,,,,
500,2.0,-32,25,231,,,,,
460,2.5,-36,31,219,,,,,
403,2.0,-42,38,209,,,,,
368,2.0,-45,33,218,,,,,
300,4.8,-52,26,225,,,,,
244,7.5,-50,28,237,,,,,
200,7.9,-49,25,245,,,,,
185,8.5,-50,29,248,,,,,
150,6.4,-50,30,255,,,,,
141,6.2,-50,33,255,,,,,
117,14.3,-50,34,258,,,,,
100,13.9,-49,34,263,,,,,
77.6,12.3,-49,38,259,,,,,
70,14.3,-48,38,264,,,,,
61.8,15.3,-48,39,266,,,,,
50,15.3,-48,38,264,,,,,
41,16.4,-49,38,269,,,,,
30,14.8,-47,41,267,,,,,
27.3,13.8,-48,42,267,,,,,
24.9,13.8,-43,41,268,,,,,
20,11.6,-44,40,271,,,,,
17.4,10.8,-44,42,265,,,,,
15.9,11.5,-42,41,261,,,,,
14,10.5,-40,39,266,,,,,
11.7,7.4,-40,42,266,,,,,
10,6.3,-38,41,270,,,,,
7,4.4,-42,46,259,,,,,
6.9,4.3,-42,46,260,,,,,

* OC;VAISALA SYSTEM  XtrapO3=30

